AIDS,SIDA
ALKALI METAL,METAL ALCALIN
ALKALOID,ALCALOID
ALKANE,ALCAN
ALKENE,ALCHENĂ
ALKYNE,ALCHINĂ
ALLAH,ALLAH
ALLEGORY,ALEGORIE
ALLERGY,ALERGIE
ALLITERATION,ALITERAŢIE
ALLOPHONE,ALOFON
ALLOSAURUS,ALLOSAURUS
ALLOY,ALIAJ
ALMATY,ALMATÎ
ALPHA (LETTER),ALFA (LITERĂ)
ALPHA CENTAURI,ALFA CENTAURI
ALPHABET,ALFABET
ALPS,ALPI
ALSACE,ALSACIA
ALTAR,ALTAR (RELIGIE)
ALTAY MOUNTAINS,MUNŢII ALTAI
ALTERNATING CURRENT,CURENT ALTERNATIV
ALTERNATIVE MEDICINE,CATEGORIE:TERAPII ALTERNATIVE
ALTERNATIVE MEDICINE,TERAPII ALTERNATIVE
ALUMINIUM,ALUMINIU
ALVAR AALTO,ALVAR AALTO
ALZHEIMER'S DISEASE,BOALA ALZHEIMER
AMARYLLIDACEAE,AMARYLLIDACEAE
AMATERASU,AMATERASU
AMAZON RIVER,AMAZON (FLUVIU)
AMBER,CHIHLIMBAR
AMBROSE,AMBROZIU DE MILANO
AMEDEO AVOGADRO,AMEDEO AVOGADRO
AMERICAN BLACK BEAR,URSUS AMERICANUS
AMERICAN CIVIL WAR,RĂZBOIUL CIVIL AMERICAN
AMERICAN REVOLUTIONARY WAR,RĂZBOIUL DE INDEPENDENŢĂ AL STATELOR UNITE ALE AMERICII
AMERICAN SAMOA,SAMOA AMERICANĂ
AMERICAN STANDARD CODE FOR INFORMATION INTERCHANGE,ASCII
AMERICIUM,AMERICIU
AMERIGO VESPUCCI,AMERIGO VESPUCCI
AMETHYST,AMETIST
AMIDE,AMIDĂ
AMINE,AMINĂ
AMINO ACID,AMINOACIZI
AMMAN,AMMAN
AMMONIA,AMONIAC
AMPERE,AMPER
AMPHETAMINE,AMFETAMINĂ
AMPHIBIAN,AMFIBIAN
AMPHITHEATRE,AMFITEATRU
AMSTERDAM,AMSTERDAM
AMSTERDAM,CATEGORIE:AMSTERDAM
AMUN,AMMON
AMUR,AMUR (RÂU)
ANABAPTIST,ANABAPTISM
ANAHEIM,ANAHEIM, CALIFORNIA
ANALYTIC GEOMETRY,GEOMETRIE ANALITICĂ
ANARCHISM,ANARHISM
ANARCHISM,CATEGORIE:ANARHISM
ANARCHY,ANARHIE
ANATOLE FRANCE,ANATOLE FRANCE
ANATOMY,CATEGORIE:ANATOMIE
ANATOMY,ANATOMIE
ANAXAGORAS,ANAXAGORA
ANAXIMANDER,ANAXIMANDRU
ANCHOR,ANCORĂ
ANCHORAGE,ANCHORAGE, ALASKA
ANCIENT GREEK,LIMBA GREACĂ VECHE
ANDALUSIA,ANDALUZIA
ANDAMAN SEA,MAREA ANDAMAN
ANDERS CELSIUS,ANDERS CELSIUS
ANDES,ANZII CORDILIERI
ANDHRA PRADESH,ANDHRA PRADESH
ANDORRA,ANDORRA
ANDORRA,CATEGORIE:ANDORRA
ANDREA PALLADIO,ANDREA PALLADIO
ANDREI SAKHAROV,ANDREI SAHAROV
ANDREI TARKOVSKY,ANDREI TARKOVSKY
ANDREW JACKSON,ANDREW JACKSON
ANDREW JOHNSON,ANDREW JOHNSON
ANDROMEDA,ANDROMEDA
ANDROMEDA (CONSTELLATION),ANDROMEDA (CONSTELAŢIE)
ANDROMEDA (MYTHOLOGY),ANDROMEDA (PRINŢESĂ)
ANDROMEDA GALAXY,ANDROMEDA (GALAXIE)
ANDY WARHOL,ANDY WARHOL
ANEMIA,ANEMIE
ANGARA RIVER,ANGARA
ANGEL,ÎNGER
ANGEL FALLS,CASCADA ANGEL
ANGLE,ÂNGULO
ANGOLA,ANGOLA
ANGOLA,CATEGORIE:ANGOLA
ANGUILLA,ANGUILLA
ANGULAR MOMENTUM,MOMENT CINETIC
ANICIUS MANLIUS SEVERINUS BOETHIUS,BOETHIUS
ANILINE,ANILINĂ
ANIMAL,REGN ANIMALIA
ANIMATION,ANIMAŢIE
ANIME,ANIME
ANIMISM,ANIMISM
ANISE,ANASON
ANKARA,ANKARA
ANNAPOLIS,ANNAPOLIS, MARYLAND
ANNE BOLEYN,ANNE BOLEYN
ANNELID,VIERME INELAT
ANNUNCIATION,BUNA-VESTIRE
ANSERIFORMES,ANSERIFORMES
ANSERIFORMES,CATEGORIE:ANSERIFORMES
ANT,FURNICĂ
ANTAKYA,ANTAKYA
ANTALYA,ANTALIA
ANTANANARIVO,ANTANANARIVO
ANTARCTICA,ANTARCTICA
ANTARES,ANTARES
ANTHONY HOPKINS,ANTHONY HOPKINS
ANTHRAX,ANTRAX
ANTHROPOLOGY,ANTROPOLOGIE
ANTHROPOLOGY,CATEGORIE:ANTROPOLOGIE
ANTHROPOSOPHY,ANTROPOSOFIE
ANTIBIOTIC,ANTIBIOTIC
ANTIGEN,ANTIGEN
ANTIGONE,ANTIGONA
ANTIGUA AND BARBUDA,ANTIGUA ŞI BARBUDA
ANTIMATTER,ANTIMATERIE
ANTIMONY,STIBIU
ANTIPOPE,ANTIPAPĂ
ANTISEMITISM,ANTISEMITISM
ANTISEMITISM,CATEGORIE:ANTISEMITISM
ANTLIA,MAŞINA PNEUMATICĂ (CONSTELAŢIE)
ANTOINE LAVOISIER,ANTOINE LAVOISIER
ANTON CHEKHOV,ANTON CEHOV
ANTONIO STRADIVARI,ANTONIO STRADIVARIUS
ANTONIO VIVALDI,ANTONIO VIVALDI
ANTONYM,ANTONIM
ANTWERP,ANVERS
ANTWERP (PROVINCE),ANVERS (PROVINCIE)
ANUBIS,ANUBIS
ANUS,ANUS
AORTA,AORTA
APATITE,APATIT
APHASIA,AFAZIE
APHORISM,AFORISM
APHRODITE,AFRODITA
APIACEAE,APIACEAE
APOLLO,APOLLO (MITOLOGIE)
APOLLO (DISAMBIGUATION),APOLLO (DEZAMBIGUIZARE)
APOLLO PROGRAM,PROGRAMUL APOLLO
APOLLO PROGRAM,CATEGORIE:PROGRAMUL APOLLO
APPENDICITIS,APENDICITĂ
APPLIED MATHEMATICS,MATEMATICĂ APLICATĂ
APRIL,APRILIE
APRIL 14,14 APRILIE
APULIA,APULIA
APUS,PASĂREA PARADISULUI (CONSTELAŢIE)
AQABA,AQABA
AQUA REGIA,AQUA REGIA
AQUAMARINE,ACVAMARIN
AQUARIUM,ACVARIU
AQUARIUS (CONSTELLATION),VĂRSĂTORUL (CONSTELAŢIE)
AQUEDUCT,APEDUCT
AQUILA (CONSTELLATION),VULTURUL (CONSTELAŢIE)
AQUITAINE,AQUITANIA
ARA (CONSTELLATION),ALTARUL (CONSTELAŢIE)
ARAB,ARAB
ARAB LEAGUE,LIGA ARABĂ
ARABIAN PENINSULA,PENINSULA ARABICĂ
ARABIC ALPHABET,ALFABETUL ARAB
ARABIC LANGUAGE,LIMBA ARABĂ
ARACEAE,ARACEAE
ARAGON,ARAGON
ARAL SEA,MAREA ARAL
ARAM KHACHATURIAN,ARAM HACIATURIAN
ARCADIA,ARCADIA
ARCANGELO CORELLI,ARCANGELO CORELLI
ARCHAEOLOGY,ARHEOLOGIE
ARCHAEOLOGY,CATEGORIE:ARHEOLOGIE
ARCHAEOPTERYX,ARCHAEOPTERYX
ARCHBISHOP,ARHIEPISCOP
ARCHIMEDES,ARHIMEDE
ARCHITECT,ARHITECT
ARCHITECTURE,ARHITECTURĂ
ARCHITECTURE,CATEGORIE:ARHITECTURĂ
ARCTIC OCEAN,OCEANUL ARCTIC
ARDENNES,ARDENI
ARDENNES (DEPARTMENT),ARDENNES
ARE,AR
AREA,SUPRAFAŢĂ
ARECACEAE,PALMIER
ARES,ARES
ARGENTINA,ARGENTINA
ARGENTINA,CATEGORIE:ARGENTINA
ARGON,ARGON
ARGOS,ARGOS
ARIANISM,ARIANISM
ARIES (CONSTELLATION),BERBECUL (CONSTELAŢIE)
ARISTARCHUS OF SAMOS,ARISTARH DIN SAMOS
ARISTOCRACY,ARISTOCRAŢIE
ARISTOPHANES,ARISTOFAN
ARISTOTLE,ARISTOTEL
ARITHMETIC,ARITMETICĂ
ARITHMETIC,CATEGORIE:ARITMETICĂ
ARITHMETIC PROGRESSION,PROGRESIE (MATEMATICĂ)
ARIUS,ARIUS
ARIZONA,ARIZONA (STAT SUA)
ARIZONA,CATEGORIE:STATUL ARIZONA, SUA
ARKANSAS,ARKANSAS (STAT SUA)
ARKANSAS,CATEGORIE:STATUL ARKANSAS, SUA
ARLES,ARLES
ARMENIA,ARMENIA
ARMENIA,CATEGORIE:ARMENIA
ARMENIAN LANGUAGE,LIMBA ARMEANĂ
ARMOUR,ARMURĂ
ARMY,ARMATA TERESTRĂ
ARNHEM,ARNHEM
ARNO RIVER,RÂUL ARNO
ARNOLD SCHOENBERG,ARNOLD SCHOENBERG
AROMATIC HYDROCARBON,HIDROCARBURĂ AROMATICĂ
ARRAS,ARRAS
ARSENIC,ARSEN
ART,ARTĂ
ART DECO,ART DECO
ART NOUVEAU,ART NOUVEAU
ART HISTORY,ISTORIA ARTEI
ARTEMIS,ARTEMIS
ARTHROPOD,ARTROPODE
ARTHUR COMPTON,ARTHUR HOLLY COMPTON
ARTHUR CONAN DOYLE,ARTHUR CONAN DOYLE
ARTHUR MILLER,ARTHUR MILLER
ARTHUR RIMBAUD,ARTHUR RIMBAUD
ARTHUR SCHOPENHAUER,ARTHUR SCHOPENHAUER
ARTIFICIAL INTELLIGENCE,INTELIGENŢĂ ARTIFICIALĂ
ARTIFICIAL INTELLIGENCE,CATEGORIE:INTELIGENŢĂ ARTIFICIALĂ
ARTILLERY,ARTILERIE
ARTILLERY,CATEGORIE:ARTILERIE
ARTS,CATEGORIE:ARTĂ
ARTURO TOSCANINI,ARTURO TOSCANINI
ARUBA,ARUBA
ASBESTOS,AZBEST
ASCLEPIUS,ASCLEPIOS
ASEXUALITY,ASEXUALITATE
ASGARD,ASGARD
ASHURBANIPAL,ASSURBANIPAL
ASIA,ASIA
ASIA,CATEGORIE:ASIA
ASMARA,ASMARA
ASPARTAME,ASPARTAM
ASPIRIN,ASPIRINĂ
ASSAM,ASSAM
ASSEMBLY LANGUAGE,LIMBAJ DE ASAMBLARE
ASSYRIA,ASIRIA
ASSYRIA,CATEGORIE:ASIRIA
ASTANA,ASTANA
ASTATINE,ASTATINIU
ASTERACEAE,ASTERACEAE
ASTEROID,ASTEROID
ASTEROID BELT,CENTURA DE ASTEROIZI
ASTHMA,ASTM BRONŞIC
ASTIGMATISM (EYE),ASTIGMATISM
ASTRAKHAN,ASTRAHAN
ASTROBIOLOGY,XENOBIOLOGIE
ASTROLOGY,ASTROLOGIE
ASTROLOGY,CATEGORIE:ASTROLOGIE
ASTROMETRY,ASTROMETRIE
ASTRONAUT,ASTRONAUT
ASTRONOMER,ASTRONOM
ASTRONOMICAL UNIT,UNITATE ASTRONOMICĂ
ASTRONOMY,ASTRONOMIE
ASTRONOMY,CATEGORIE:ASTRONOMIE
ASTRONOMY,PORTAL:ASTRONOMIE
ASTROPHYSICS,ASTROFIZICĂ
ASTROPHYSICS,CATEGORIE:ASTROFIZICĂ
ASWAN,ASSUAN
ASYMPTOTE,ASIMPTOTĂ
ATACAMA DESERT,ATACAMA
ATHEISM,CATEGORIE:ATEISM
ATHENA,ATENA (ZEIŢĂ)
ATHENS,ATENA
ATHLETICS,CATEGORIE:ATLETISM
ATHLETICS (TRACK AND FIELD),ATLETISM
ATLANTA,ATLANTA, GEORGIA
ATLANTIC OCEAN,OCEANUL ATLANTIC
ATLANTIC OCEAN,CATEGORIE:OCEANUL ATLANTIC
ATLANTIS,ATLANTIDA
ATLAS (MOON),ATLAS (SATELIT)
ATLAS MOUNTAINS,MUNŢII ATLAS
ATMOSPHERIC PRESSURE,PRESIUNE ATMOSFERICĂ
ATOM,ATOM
ATOMIC MASS,MASĂ ATOMICĂ
ATOMIC MASS UNIT,UNITATE ATOMICĂ DE MASĂ
ATOMIC NUMBER,NUMĂR ATOMIC
ATOMIC PHYSICS,CATEGORIE:FIZICĂ ATOMICĂ
ATOMIC PHYSICS,FIZICĂ ATOMICĂ
ATREUS,ATREU
ATROPINE,ATROPINĂ
ATTICA,ATTICA
ATTILA THE HUN,ATTILA
AUCKLAND,AUCKLAND
AUGUST,AUGUST
AUGUST 1,1 AUGUST
AUGUST 15,15 AUGUST
AUGUST 6,6 AUGUST
AUGUST STRINDBERG,AUGUST STRINDBERG
AUGUSTA,AUGUSTA, MAINE
AUGUSTE COMTE,AUGUSTE COMTE
AUGUSTE RODIN,AUGUSTE RODIN
AUGUSTINE OF HIPPO,AUGUSTIN DE HIPONA
AUGUSTUS,CEZAR AUGUST
AURIGA (CONSTELLATION),VIZITIUL (CONSTELAŢIE)
AURORA,AURORA (DEZAMBIGUIZARE)
AURORA (ASTRONOMY),AURORĂ POLARĂ
AUSTIN,AUSTIN, TEXAS
AUSTRALIA,AUSTRALIA
AUSTRALIAN DOLLAR,DOLAR AUSTRALIAN
AUSTRALOPITHECUS,AUSTRALOPITHECUS
AUSTRIA,AUSTRIA
AUSTRIA,CATEGORIE:AUSTRIA
AUSTRIA-HUNGARY,IMPERIUL AUSTRO-UNGAR
AUTHOR,SCRIITOR
AUTO RACING,AUTOMOBILISM
AUTOBIOGRAPHY,AUTOBIOGRAFIE
AUTOMOBILE,AUTOMOBIL
AUTONOMIC NERVOUS SYSTEM,SISTEM NERVOS VEGETATIV
AUTOTROPH,AUTOTROF
AUTUMN,TOAMNĂ
AUVERGNE (REGION),AUVERGNE
AVALANCHE,AVALANŞĂ
AVANT-GARDE,AVANGARDĂ
AVATAR,AVATAR
AVENA,OVĂZ
AVERROES,AVERROES
AVESTA,AVESTA
AVIATION,TRANSPORT AERIAN
AVICENNA,AVICENNA
AVIGNON,AVIGNON
AVOGADRO'S LAW,LEGEA LUI AVOGADRO
AXIOM,AXIOMĂ
AXON,AXON
AYN RAND,AYN RAND
AZERBAIJAN,AZERBAIDJAN
AZERBAIJAN,CATEGORIE:AZERBAIDJAN
AZORES,AZORE
AZTEC,AZTECI
AZURITE,AZURIT
B,B
BASIC,BASIC
BAAL,BAAL
BABOON,BABUIN
BABYLON,BABILON
BACTERIA,BACTERIE
BACTERIA,CATEGORIE:BACTERIE
BADMINTON,BADMINTON
BAFFIN BAY,MAREA BAFFIN
BAFFIN ISLAND,INSULA BAFFIN
BAGHDAD,BAGDAD
BAHAMAS,CATEGORIE:BAHAMAS
BAHRAIN,BAHRAIN
BAHRAIN,CATEGORIE:BAHRAIN
BAJA CALIFORNIA,BAJA CALIFORNIA (STAT MEXIC)
BAKU,BAKU
BALANCE SHEET,BILANŢ
BALDR,BALDUR
BALEARIC ISLANDS,INSULELE BALEARE
BALEEN WHALE,BALENĂ
BALI,BALI
BALKAN MOUNTAINS,MUNŢII BALCANI
BALKAN WARS,RĂZBOAIELE BALCANICE
BALKANS,BALCANI
BALL,MINGE
BALLET,CATEGORIE:BALET
BALTIC SEA,MAREA BALTICĂ
BALTIMORE,BALTIMORE, MARYLAND
BANANA,BANANĂ
BANANA REPUBLIC,REPUBLICĂ BANANIERĂ
BANGALORE,BENGALURU
BANGKOK,BANGKOK
BANGLADESH,BANGLADESH
BANGLADESH,CATEGORIE:BANGLADESH
BANJUL,BANJUL
BANK,BANCĂ (INSTITUŢIE FINANCIARĂ)
BANKS,CATEGORIE:BĂNCI
BAPTISM,BOTEZ
BAPTIST,BISERICILE BAPTISTE
BAR (UNIT),BAR
BARBADOS,BARBADOS
BARBRA STREISAND,BARBRA STREISAND
BARCELONA,BARCELONA
BARCELONA,CATEGORIE:BARCELONA
BARI,BARI
BARIUM,BARIU
BARLEY,ORZ
BARON,BARON
BAROQUE,BAROC
BARRANQUILLA,BARRANQUILLA
BARREL (UNIT),BARIL DE PETROL
BASALT,BAZALT
BASE (CHEMISTRY),BAZĂ (CHIMIE)
BASEBALL,BASEBALL
BASEL,BASEL
BASIDIOMYCOTA,BASIDIOMYCOTA
BASIL,BUSUIOC
BASIL OF CAESAREA,VASILE CEL MARE
BASILICA,BAZILICĂ
BASILICATA,BASILICATA
BASILISCUS,BASILISKOS
BASILISK,VASILISC
BASKETBALL,BASCHET
BASRA,BASRA
BASS GUITAR,CHITARĂ BAS
BASSE-NORMANDIE,NORMANDIA DE JOS
BAST (MYTHOLOGY),BASTET
BASTILLE,BASTILIA
BAT,CHIROPTERE
BATH,BATH
BATMAN,BATMAN
BATON ROUGE,BATON ROUGE, LOUISIANA
BATTLE OF AUSTERLITZ,BĂTĂLIA DE LA AUSTERLITZ
BATTLE OF BRITAIN,BĂTĂLIA ANGLIEI
BATTLE OF HASTINGS,BĂTĂLIA DE LA HASTINGS
BATTLE OF MARATHON,BĂTĂLIA DE LA MARATHON
BATTLE OF THERMOPYLAE,BĂTĂLIA DE LA TERMOPILE
BATTLE OF VERDUN,BĂTĂLIA DE LA VERDUN
BATTLE OF WATERLOO,BĂTĂLIA DE LA WATERLOO
BATTLE OF THE SOMME,BĂTĂLIA DE PE SOMME (1916)
BAUHAUS,BAUHAUS
BAUXITE,BAUXITĂ
BAVARIA,BAVARIA
BAVARIA,CATEGORIE:BAVARIA
BAY LAUREL,DAFIN
BAY OF BENGAL,GOLFUL BENGAL
BAYER,BAYER AG
BAYONET,BAIONETĂ
BAYONNE,BAYONNE
BEAGLE,BEAGLE
BEAR,URS
BEAUFORT SEA,MAREA BEAUFORT
BEAUFORT SCALE,SCARA BEAUFORT
BEAVER,CASTOR (ANIMAL)
BECQUEREL,BECQUEREL
BED,PAT
BEDE,BEDA VENERABILUL
BEDOUIN,BEDUINI
BEE,ALBINĂ
BEEKEEPING,CATEGORIE:APICULTURĂ
BEER,BERE
BEER,CATEGORIE:BERE
BEHAVIORISM,BEHAVIORISM
BEIJING,BEIJING
BEIRUT,BEIRUT
BELARUS,BELARUS
BELARUS,CATEGORIE:BELARUS
BELFAST,BELFAST
BELGIUM,BELGIA
BELGIUM,CATEGORIE:BELGIA
BELGRADE,BELGRAD
BELIZE,BELIZE
BELIZE,CATEGORIE:BELIZE
BELLEROPHON,BELEROFON
BELO HORIZONTE,BELO HORIZONTE
BENELUX,BENELUX
BENGAL,BENGAL
BENIN,BENIN
BENIN,CATEGORIE:BENIN
BENITO MUSSOLINI,BENITO MUSSOLINI
BENJAMIN FRANKLIN,BENJAMIN FRANKLIN
BENJAMIN HARRISON,BENJAMIN HARRISON
BEOWULF,BEOWULF
BERGEN,BERGEN, NORVEGIA
BERING SEA,MAREA BERING
BERING STRAIT,STRÂMTOAREA BERING
BERKELIUM,BERKELIU
BERKSHIRE,BERKSHIRE
BERLIN,BERLIN
BERMUDA,INSULELE BERMUDE
BERMUDA,CATEGORIE:BERMUDA
BERMUDA TRIANGLE,TRIUNGHIUL BERMUDELOR
BERNE,BERNA
BERNHARD RIEMANN,BERNHARD RIEMANN
BERRY,BACĂ
BERTOLT BRECHT,BERTOLT BRECHT
BERTRAND RUSSELL,BERTRAND RUSSELL
BERYL,BERIL
BERYLLIUM,BERILIU
BETELGEUSE,BETELGEUSE
BETHLEHEM,BETHLEEM EFRATA
BETTE DAVIS,BETTE DAVIS
BEY,BEY
BHUTAN,BHUTAN
BHUTAN,CATEGORIE:BHUTAN
BIBLE,BIBLIA
BIBLE,CATEGORIE:BIBLIA
BICYCLE,BICICLETĂ
BIG BANG,BIG BANG
BIHAR,BIHAR
BILL CLINTON,BILL CLINTON
BILL GATES,BILL GATES
BILLY WILDER,BILLY WILDER
BIOCHEMISTRY,BIOCHIMIE
BIOCHEMISTRY,CATEGORIE:BIOCHIMIE
BIODIVERSITY,BIODIVERSITATE
BIOGEOGRAPHY,BIOGEOGRAFIE
BIOGRAPHY,PORTAL:BIOGRAFIE
BIOLOGY,BIOLOGIE
BIOLOGY,CATEGORIE:BIOLOGIE
BIOLOGY,PORTAL:BIOLOGIE
BIOMASS,BIOMASĂ (ECOLOGIE)
BIOME,BIOM
BIOPHYSICS,BIOFIZICĂ
BIOSPHERE,BIOSFERĂ
BIOTECHNOLOGY,CATEGORIE:BIOTEHNOLOGIE
BIOTIN,BIOTINĂ
BIRCH,MESTEACĂN
BIRD,PASĂRE
BIRMINGHAM,BIRMINGHAM, ALABAMA
BISEXUALITY,BISEXUALITATE
BISHKEK,BIŞKEK
BISHOP,EPISCOP
BISHOP (CHESS),NEBUN (ŞAH)
BISMARCK,BISMARCK, NORTH DAKOTA
BISMARCK (DISAMBIGUATION),BISMARCK
BISMUTH,BISMUT
BIT,BIT
BLACK,NEGRU
BLACK DEATH,MOARTEA NEAGRĂ
BLACK FOREST,MUNŢII PĂDUREA NEAGRĂ
BLACK SEA,MAREA NEAGRĂ
BLACK HOLE,GAURĂ NEAGRĂ
BLAISE PASCAL,BLAISE PASCAL
BLENDER (SOFTWARE),BLENDER
BLITZKRIEG,BLITZKRIEG
BLOG,BLOG
BLOOD,SÂNGE
BLOOD PLASMA,PLASMĂ (BIOLOGIE)
BLOOD TYPE,GRUPĂ SANGUINĂ
BLUE,ALBASTRU
BLUE WHALE,BALENĂ ALBASTRĂ
BLUES,MUZICĂ BLUES
BOAR,MISTREŢ
BOAT,BARCĂ
BOB DYLAN,BOB DYLAN
BOB MARLEY,BOB MARLEY
BOBBY FISCHER,ROBERT FISCHER
BOBSLEIGH,BOB
BODY MASS INDEX,INDICELE MASEI CORPORALE
BODYBUILDING,CULTURISM
BOHEMIA,BOEMIA
BOHRIUM,BOHRIU
